threshold,precision,recall,f1,accuracy
0.0,0.09,1.0,0.17,0.09
0.06,0.16,0.93,0.27,0.52
0.11,0.17,0.9,0.28,0.57
0.17,0.18,0.89,0.3,0.6
0.22,0.19,0.88,0.31,0.63
0.28,0.2,0.87,0.32,0.65
0.33,0.21,0.87,0.33,0.67
0.39,0.21,0.85,0.34,0.69
0.44,0.22,0.83,0.34,0.7
0.5,0.22,0.79,0.34,0.72
0.56,0.22,0.77,0.35,0.73
0.61,0.23,0.74,0.35,0.74
0.67,0.24,0.73,0.36,0.76
0.72,0.25,0.71,0.37,0.78
0.78,0.26,0.65,0.38,0.8
0.83,0.31,0.58,0.4,0.84
0.89,0.32,0.42,0.37,0.86
0.94,0.32,0.23,0.26,0.88
1.0,0.0,0.0,0.0,0.91
